champion,opponentChampion,kills,deaths,assists,win,killParticipation,csdiff14min,jungleCsdiff14,turretPlatesTaken,golddiff14min,xpDiff14,dmgChamps14,totalDmgChamps,teamDamagePercentage,visionScore,visionScorePerMinute,visionWardsBoughtInGame,controlWardsPlaced,wardTakedowns,wardsPlaced,completeSupportQuestInTime
Nasus,Renekton,5,3,3,1,20.0,-39,0,0,-2960,-2269,5378,15248,12.115009443577229,15,0.5374682943688289,1,0,3,4,0
Vladimir,Warwick,5,2,8,1,41.935483870967744,14,-4,0,233,682,11819,26715,28.596418619070608,20,0.804464797181308,3,2,2,7,0
Rumble,Fiora,9,6,5,0,51.85185185185185,24,0,5,2248,680,9788,49527,32.85856686822437,22,0.6452102644868721,4,3,2,6,0
Rumble,KSante,6,0,5,1,55.00000000000001,37,0,3,2711,1790,14209,16575,31.779224239419285,8,0.5362898041768817,1,1,0,5,0
Renekton,Riven,8,0,8,1,57.14285714285714,79,0,5,4614,4390,9840,19777,28.194387987610583,13,0.5890106052862211,2,1,3,4,0
Rumble,Kennen,3,2,3,1,30.0,11,0,1,334,57,6376,10742,24.386840421185287,4,0.3127797266453272,0,0,0,3,0
Gnar,Rumble,5,6,3,0,42.10526315789473,35,0,4,937,1502,6027,20131,24.64397647577793,32,1.2759797045317864,3,2,8,7,0
Aurora,Riven,5,6,8,0,61.90476190476191,33,0,4,429,414,7293,23146,28.36744264098334,23,0.8384651949691364,4,2,5,6,0
Gnar,Jayce,10,8,9,0,57.57575757575758,20,4,5,2289,1452,9455,36755,35.33491044308518,36,1.2219907532059051,3,2,7,7,0
Rumble,Renekton,2,5,7,1,25.71428571428571,-3,0,0,-442,-278,8502,25259,21.872167008276687,26,0.9728417409227156,4,3,3,8,0
Aurora,KSante,4,5,6,0,58.82352941176471,13,0,2,824,506,10806,26717,30.169215098089296,25,0.7456154871143427,5,4,7,6,0
Rumble,Trundle,4,3,9,1,59.09090909090909,44,0,4,2050,1802,10873,31285,34.40757062144344,23,0.950376095396571,3,3,5,7,0
Rumble,Shen,2,2,5,1,24.13793103448276,69,0,2,1367,1035,8558,21742,23.76972660192586,17,0.7873903100885961,3,2,4,6,0
Renekton,Akali,1,5,2,0,23.07692307692308,-10,1,0,-1454,-1457,8328,11549,26.043666778541635,8,0.421850696339265,1,0,1,4,0
Vladimir,Ornn,7,2,6,1,36.11111111111111,38,0,2,1432,650,13485,26670,25.39069380472361,33,1.4175406132906845,3,3,4,9,0
Rumble,Varus,5,0,2,1,38.88888888888889,4,0,5,2473,1838,6107,8524,20.501909080659992,5,0.3385146185575442,1,0,0,4,0
Kennen,Karma,1,5,1,0,10.526315789473683,13,0,2,602,201,6238,15210,16.72696766416262,26,0.9631397931045458,3,3,3,9,0
Aurora,Nasus,9,2,7,1,44.44444444444444,16,0,3,2461,1954,12104,24207,24.69572248651207,20,0.929729647733323,4,3,2,8,0
Rumble,Vladimir,4,7,2,0,31.57894736842105,-2,0,0,-550,-1175,7285,28210,28.72415275887612,16,0.624788043064555,3,2,1,6,0
Jayce,MonkeyKing,8,4,6,1,38.88888888888889,32,0,2,860,845,7293,16748,20.910786539459856,16,0.6798226321965513,2,2,1,6,0
Rumble,Gwen,7,7,2,1,27.27272727272727,12,0,4,352,359,10865,25982,25.736093125401386,17,0.7521910069218226,3,2,1,5,0
Kennen,Rumble,7,6,3,0,55.55555555555556,-22,0,0,-308,-578,8553,17994,28.2449165390308,18,0.8015331783322871,3,2,4,7,0
Rumble,Quinn,5,1,4,1,29.03225806451613,70,0,5,3646,2570,5459,15655,19.626968591770417,16,0.765720359267557,3,2,1,6,0
Rumble,Quinn,3,3,2,1,25.0,31,0,1,1277,1291,8882,8882,22.040351104511583,13,0.8570485161529078,3,2,0,7,0
Varus,Rumble,1,6,6,0,41.17647058823529,16,0,2,63,162,5383,12060,19.016346558907895,24,1.0061362087613774,3,3,1,10,0
Rumble,KSante,5,8,18,1,67.64705882352942,15,0,0,-241,-497,12311,34096,24.956022211240374,20,0.6656872149891673,2,1,3,4,0
Rumble,Vladimir,3,0,2,1,38.46153846153847,36,0,5,2241,1616,11731,12447,34.65692735187776,3,0.2006532237210959,3,0,0,2,0
Gnar,Gragas,5,1,9,1,41.17647058823529,12,0,2,1310,1795,11278,27272,21.8832850508044,22,0.8691022979327496,3,3,4,7,0
Rumble,KSante,6,1,5,1,39.285714285714285,32,1,5,2609,2293,11122,23922,25.238938472696443,29,1.1745151630608357,3,3,1,9,0
Rumble,Aatrox,12,2,7,1,47.5,49,0,3,2278,2486,10199,32917,28.05666397317024,25,0.8726973871355388,4,3,4,6,0
